Swedish,English
tydligen,apparently
kontakt,Contact
farligt,Dangerous
alldeles,Right
omöjligt,impossible
träffar,hits
e,e
höger,Right
världens,The world
spel,game
mål,goal
låtsas,pretend
glömma,forget
välja,select
känslor,feelings
kallade,called
förlorat,lost
fader,Father
pa,Pa
ändra,change
leder,joints
kung,King
lovade,promised
sov,sleeping
året,the year
sticka,knit
svarta,Blacks
paul,Paul
fantastisk,fantastic
högt,high
henry,Henry
hjärtat,the heart
stopp,Stop
glömt,Forgot
flickvän,girlfriend
fullt,fully
stal,stole
ända,end
alex,Alex
jesus,Jesus
grej,thing
meter,meter
dröm,dream
ligga,lie
sönder,broken
hungrig,hungry
o,O
använde,used
ljög,lied
steg,step
förstöra,Destroy
tillhör,belongs
slags,sort of
fly,escape
vare,it
hellre,rather
uppdrag,mission
speciellt,especially
vackert,beautifully
värsta,worst
fina,Fine
spelade,Played
dansa,dance
vila,rest
klarade,managed
söt,sweet
filmen,the movie
värt,Worth
skämt,joke
jävlar,Damn
namnet,The name
skogen,the forest
kär,in love
frun,wife
lösa,solve
gatan,The street
bild,picture
musik,music
sist,last
slutade,stopped
upptagen,occupied
talat,spoken
snacka,Talk
säkerhet,security
dricker,Drink
äkta,genuine
därifrån,From there
hette,was called
jim,Jim
harry,Harry
förlorar,losing
stad,City
drog,drug
general,General
lunch,lunch
ungefär,approximately
lärt,learned
stäng,Close
hög,high
handen,Hand
kasta,throw
adjö,goodbye
varenda,every
brott,crime
bar,bar
byta,change
området,area
valde,chose
glas,glass
unga,Young
ställer,Places
börjat,began
vann,Won
intresserad,interested
nick,nod
jimmy,Jimmy
väntade,waited
köper,Buying
pojkar,Boys
dumt,stupid
åk,ride
sarah,Sarah
ordnar,arranges
fröken,Miss
framtiden,The future
ray,Ray
make,husband
säljer,sells
försvinn,Disappear
pojkvän,boyfriend
snyggt,Nice
minut,minute
flickor,Girls
vackra,Beautiful
dåliga,bad
spår,track
stör,disturb
tittade,looked
hänger,Hangs
ingenstans,Nowhere
dela,share
närheten,around
bevisa,prove
ljus,light
hinner,have time to
nyss,just
paris,Paris
luktar,Smells
släpper,release
närmare,closer
svär,swear
chansen,The chance
förstått,understood
velat,Wanted
vanligt,plain
drink,drink
tony,Tony
sängen,the bed
bob,Bob
brev,mail
detsamma,the same
överens,agreed
gissa,guess
å,Å
någonstans,somewhere
talas,spoken
väntat,Expected
boken,The book
bill,Bill
arbeta,work
dumma,Stupid
pistol,gun
ansiktet,the face
ringt,rung
röst,voice
akta,beware
säkra,secure
månad,month
ombord,on board
läst,read
själ,Soul
äger,Owns
tommy,Tommy
välkomna,welcome
marken,the ground
lägenhet,apartment
försiktigt,gently
stackars,Poor
grejer,stuff
mary,Mary
bilder,pictures
kontroll,Control
dessutom,In addition
underbar,wonderful
läser,Reads
telefonen,The phone
utmärkt,Excellent
svarar,answers
presidenten,the president
uppskattar,Appreciate
extra,extra
gilla,like
n,n
skadad,damaged
tanke,thought
bygga,build
dött,Died
planen,the plan
lämnat,left
bestämmer,decides
partner,partner
sorts,kind
sådan,such
gode,Good
doktor,Doctor
liksom,as well as
flyga,fly
utom,except
sällskap,company
läste,Read
verkade,seemed
förresten,By the way
tusen,thousand
minst,least
london,London
unge,young
rena,clean
tal,speech
olycka,accident
stack,stack
platsen,the place
danny,Danny
festen,The party
inser,realize
kunnat,been able to
skitsnack,bullshit
offer,victims
skepp,Ship
lyckades,managed
glömmer,Forget
krävs,required
halv,half
låna,borrow
framåt,Forward
grabbar,boys
tillstånd,permission
van,van
öga,eye
respekt,respect
lista,list
vapnet,the weapon
ren,clean
hopp,hope
nervös,nervous
skapa,create
richard,Richard
kyrkan,Church
leka,play
prova,try
följde,followed
överste,colonel
team,team
folket,The people
ställ,Set
historien,history
varken,neither
öppnar,opens
billy,Billy
bredvid,beside
jake,Jake
martin,Martin
jul,Christmas
bodde,lived
tecken,sign
genast,immediately
förstod,understood
äldre,older
försvinner,disappears
gravid,pregnant
insåg,realized
makt,Power
räkna,count
skäl,reason
skeppet,The ship
hemlighet,secret
behålla,retain
passa,fit
mördaren,the killer
båten,The boat
sade,said
framtid,future
lag,law
oavsett,regardless
talade,spoke
killarna,The guys
kräver,requires
varann,each other
värd,host
ryggen,The back
massor,plenty
jämt,evenly
säng,BED
kraft,force
bjuda,invite
väljer,Selects
föll,fell
avsluta,end
havet,the sea
innebär,means
bära,wear
ej,not
chris,Chris
stilla,still
tjäna,serve
beror,depend
tråkigt,Boring
kostar,costs
himlen,Heaven
förmodligen,Probably
viktig,important
maten,The food
högre,higher
te,tea
solen,the sun
clark,Clark
hjälte,hero
lyckas,succeed
antingen,either
besök,visit
djupt,deep
vit,White
överraskning,surprise
förstör,destroy
vågar,dare
bit,bit
hamnar,ports
tankar,thoughts
upprörd,upset
grupp,group
lik,like
vanliga,usual
morgonen,The morning
thomas,Thomas
engelska,English
nyckeln,The key
förstås,of course
ansvar,responsibility
band,band
vin,wine
ljuga,lie
meningen,the meaning
slappna,Relax
bröt,broke
överleva,survive
ordet,the word
ar,are
företag,business
beredd,prepared
mordet,The murder
jäveln,The bastard
missade,Missed
flyttar,Moves
steve,Steve
fånga,catch
ms,MS
pistolen,The gun
röda,Red
endast,only
lova,promise
per,per
johnny,Johnny
sprang,ran
blå,blue
taget,taken
fatta,take
flyttade,Moved
normalt,normally
tackar,Thank you
baby,baby
ärlig,honest
anna,Anna
laga,prepare
kontoret,the office
daniel,Daniel
ålder,age
kungen,The king
skämtar,joking
bjuder,Offers
vänd,Turn
luften,the air
frukost,breakfast
jane,Jane
planer,plans
knulla,fuck
monster,monster
tolv,Twelve
leda,lead
hälften,half
poäng,point
starta,start
gömma,hide
galet,Crazy
hjärna,brain
varmt,hot
målet,the goal
stänga,close
golvet,the floor
ljuset,The light
bordet,The table
ära,honor
dar,Dar
helvetet,Hell
ledare,leader
galna,Crazy
smärta,pain
minnas,Remember
nöjd,satisfied
rent,purely
lagt,laid
nåd,Grace
hejsan,Hello
eddie,Eddie
backa,Reverse
ät,Eat
kändes,felt
springa,run
tjänar,earns
skrivit,written
spännande,exciting
tanken,thought
gratis,free
wow,Wow
definitivt,definitely
bobby,Bobby
båt,Boat
träffades,met
föddes,was born
papper,paper
ordning,order
kämpa,fight
lagen,the law
skillnad,difference
sjukhus,hospital
bryta,break
samtidigt,at the same time
åren,the years
droger,Drugs
will,will
scott,Scott
titt,look
använd,used
sköta,manage
ihjäl,to death
vägrar,refuses
ske,happen
ungar,kids
bilden,The picture
farfar,grandfather
ärligt,honestly
fängelset,the prison
mördade,murdered
letade,searched
faller,falling
flyger,flying
tappade,dropped
mormor,grandmother
sjunga,sing
hemsk,horrible
suger,Sucks
sekund,second
dök,dived
soldater,troops
öppen,open
sköter,Manages
öde,Fate
regler,rules
pris,Award
skriv,Write
översättning,translation
kusin,cousin
betalt,Paid
jävligt,Damn
förklarar,explaining
snällt,kindly
speciell,special
delen,part
amerikanska,American
knappast,hardly
människorna,the people
hunden,the dog
hänga,hang
chuck,chuck
dyker,Dives
köket,The kitchen
fönstret,The window
skiter,Shit
lee,Lee
claire,Claire
oskyldig,innocent
hundra,hundred
fann,found
hamnade,ended up
härligt,Great
charles,Charles
känsla,feeling
hot,threat
bry,Care
farväl,farewell
damen,Lady
hål,hole
college,college
kollade,Checked
lättare,lighter
skjuten,Shooted
of,of
häftigt,cool
gäng,gang
exempel,example
styrka,strength
viktiga,Important
ätit,eaten
gamle,Old
skor,shoes
aj,Ouch
pappas,Daddy
framme,in front
möta,meet
gränsen,the limit
lärare,teacher
kört,run
jäkla,damn
dam,Lady
robert,Robert
springer,runs
evigt,forever
hoppades,hoped
kallt,cool
senast,last
stjäla,steal
gumman,old man
reglerna,the rules
slag,kind
rachel,Rachel
kl.,At
förändras,change
fungera,work
häst,HORSE
kate,Kate
bröder,brothers
diskutera,discuss
gömmer,Hiding
rolig,funny
inblandad,involved
maria,Mary
lille,Little
svaret,The answer
orsak,cause
männen,The men
bilar,cars
mammas,Mom's
ordentligt,proper
snabbare,Faster
vända,turn
drömmar,Dreams
walter,Walter
presentera,present
broder,Brother
köpt,purchased
regeringen,The government
självmord,suicide
kevin,Kevin
återvända,return
washington,Washington
ensamma,lonely
rik,Rich
form,form
amerika,America
bestämt,Certainly
skyddar,protects
adam,Adam
guld,gold
listan,The list
poliser,Police
minne,memory
förhållande,relationship
hotellet,The hotel
kontrollera,verify
jagar,hunting
taket,The roof
sådant,such
bett,bite
jaga,hunt
stycken,Pieces
slipper,Slips
t,t
driver,Driver
dejt,date
frisk,healthy
amy,Amy
väggen,The wall
bröllop,wedding
jerry,Jerry
street,Street
arthur,Arthur
ena,one
procent,percent
halsen,throat
försvinna,disappear
city,City
andy,Andy
desto,Desto
krafter,forces
personen,the person
tänder,teeth
farlig,dangerous
färdig,finished
kött,meat
eric,Eric
armén,The army
ifred,peacefully
vanlig,common
lov,permission
karl,Charles
varm,hot
levde,Lived
tusan,Thus
bak,rear
betalade,paid
gåva,Gift
antagligen,Probably
sanning,truth
major,major
km,km
gifte,Married
england,England
sparken,fired
vems,whose
mobil,mobile
matt,Matt
sålde,Sold
munnen,the mouth
struntar,ignore
angående,concerning
förstörde,destroyed
fria,free
dator,computer
växte,grew
stranden,the beach
ryan,Ryan
hotell,Hotel
förflutna,past
hantera,manage
coolt,Cool
sergeant,sergeant
sysslar,engages
carter,Carter
lagar,Laws
alan,Alan
magi,magic
mötet,The meeting
skitstövel,Shit
föredrar,prefer
kameran,the camera
tåget,The train
skott,shot
hemska,horrible
liknande,similar
svin,swine
umgås,socialize
strid,battle
ön,Island
tryck,print
medicin,medicine
kyle,Kyle
spelet,the game
noga,Carefully
brian,Brian
vaken,awake
sakta,slowly
skola,school
hemligheter,Secrets
san,San.
red,ed
matchen,The match
når,reaches
fira,celebrate
böcker,books
löjtnant,lieutenant
liknar,Similar to it
drick,Drink
koppla,connect
tvinga,force
minsta,minimum
text,text
mun,mouth
träd,tree
föra,bring
affär,business
bjöd,offered
situationen,the situation
benen,The legs
an,an
helgen,weekend
hjärnan,the brain
skrämmer,scaring
stannade,stopped
hustru,wife
erkänna,admit
le,smile
bryter,Breaking
skydd,protection
alice,Alice
soldat,soldier
karriär,career
byggnaden,the building
rätten,the right
reser,traveling
floden,the river
anser,considers
koll,Koll
klä,dress
herrn,sir
sker,happens
miljon,million
japp,Yeah
stationen,The station
åkt,Ride
skratta,laugh
söka,search
bandet,the band
simon,Simon
omedelbart,immediately
onda,Evil
område,area
frihet,freedom
privat,private
loss,loose
taxi,taxi
glada,happy
jobbigt,hard
d,d
väskan,The bag
skapade,created
ted,Ted
skrattar,Laughing
halva,half
överlever,survives
uppmärksamhet,attention
fars,Father
lura,fool
förslag,suggestions
grejen,the thing
spåra,track
syns,visible
konstig,weird
förändrats,changed
äktenskap,marriage
vetat,Know
starkare,stronger
testa,test
sheriffen,The sheriff
bråttom,in a hurry
sötnos,sweetheart
dörr,door
jason,Jason
emma,Emma
hora,whore
löser,Solves
håret,The hair
fisk,fish
nyligen,recently
hoppar,Jumps
affären,the store
hindra,hinder
fångar,prisoners
tjena,Hey
william,William
is,ice
saknas,Missing
vaknar,Wake up
dave,Dave
blodet,the blood
kyss,kiss
nytta,benefit
sådana,such
gråta,cry
phil,Phil
skallen,the skull
högsta,highest
situation,situation
present,gift
rom,Gypsy
släppte,released
oroar,worrier
närmar,approaching
tappat,dropped
bussen,The bus
föreslår,proposes
luft,air
väska,bag
mil,mile
tusentals,thousands of
ägg,egg
banken,the bank
skuld,debt
oliver,olives
sara,Sara
pete,Pete
undvika,avoid
stöd,support
minnen,Memories
bestämma,determine
samman,Together
misstänkt,suspected
resan,The trip
tillfälle,opportunity
priset,The price
skickat,Sent
slutat,quit
bord,table
offret,the victim
sakna,miss
tokig,crazy
via,via
tidningen,the newspaper
tycka,think
fot,Foot
nämnde,mentioned
jäklar,Damn
laget,The team
ed,oath
besviken,disappointed
samtalet,the conversation
våld,violence
ljud,sound
samla,collect
tillbaks,Back
fiender,enemies
röd,RED
födelsedag,birthday
leo,Leo
alltihop,Everything
troligen,probably
emily,Emily
lögn,lie
joey,Joey
avtal,agreement
påminner,reminds
toaletten,the toilet
kontakta,contact
allihopa,All
fötter,feet
pâ,Pâ
ifall,If
faktum,fact
starka,Strong
klass,class
kuk,cock
viktigaste,Most important
drack,drank
återvänder,returns
ansvarig,responsible
don,Don
systemet,the system
sten,Stone
hoppade,jumped
position,position
nyheterna,News
stänger,Closes
långa,Long
platser,places
uppdraget,The assignment
mörkret,the darkness
skär,notch
skapar,creates
dna,DNA
r,r
vis,way
semester,vacation
tuff,tough
snabb,fast
luke,Luke
middagen,dinner
adress,address
års,year
lustigt,funny
orkar,can
tycks,seems
lily,Lily
skrämde,scared
tillgång,access
nycklarna,The keys
kastar,throws
hållit,held
räknar,counts
rädsla,fear
slippa,avoid
duger,good enough
baren,The bar
undrade,wondered
begär,desire
eftermiddag,afternoon
känd,known
skadade,damaged
nöje,pleasure
mörkt,Dark
match,match
lyckliga,Happy
frankrike,France
märkligt,Strange
företaget,the company
armé,Army
växer,Grows
svår,difficult
hittades,found
svarade,replied
missar,Misses
möjlighet,ability
öppet,open
hundar,Dogs
energi,energy
sådär,That's how
professor,professor
bygger,builds
saknat,missed
dagarna,The days
acceptera,accept
lurade,cheated
and,duck
tvätta,wash
idéer,Ideas
mej,Me
löjligt,ridiculously
plocka,pick
lisa,Lisa
dölja,hide
ställde,Pared
förvånad,Surprised
high,High
numret,The number
dödad,killed
majestät,Majesty
eh,eh
big,Big
hållet,held
hård,hard
letat,Looked
försvara,defend
personligt,Personal
föreställa,imagine
kastade,tossed
styr,control
lek,play
svag,weak
arm,arm
stoppar,Stopping
hemligt,Secret
domare,Judge
fundera,think
blommor,Flowers
avslöja,reveal
efteråt,afterwards
mörda,murder
ungarna,The kids
ringen,The ring
arbetet,the work
st,st
gifter,toxins
sjunger,sings
vaknade,Woke up
carl,Carl
sökte,searched
handlade,traded
mördad,murdered
dagens,Today's
sakerna,Things
läs,read
möter,Meeting
smaka,taste
rika,rich
flickorna,The girls
hamna,end up
snabba,Fast
fälla,trap
stil,style
avskyr,Disresent
städa,clean
pass,Pass
klient,client
sms,SMS
kärleken,the love
flög,Flew
vänder,turns
heliga,Holy
fokusera,focus
tysta,Silent
annanstans,elsewhere
fienden,the enemy
hemliga,Secret
drottning,Queen
kilometer,kilometer
jackson,Jackson
relation,relationship
idioter,Idiots
lås,lock
el,El
gråter,cries
bröst,breast
klubben,The club
leker,Playing
plus,plus
lucy,Lucy
hann,Hann
hämnd,revenge
fulla,full
likadant,same
sjuka,Sick
rapport,report
system,system
jones,Jones
rättvisa,Justice
assistent,assistant
farmor,grandmother
fiende,enemy
viss,certain
tvingade,forced
los,los
spara,save
bollen,The ball
morgan,Morgan
